"limits",30.0009,100.0074
"peaks",43.892469995798386,50.97404683182233,75.01950488096622,91.02347741265484
"masked X","X","obs","calc","bkg","diff"
32.5303,32.5303,210.0,198.9209446753106,198.72011409415563,-10.740944675310608
32.5498,32.5498,185.0,199.01183115043335,198.81037921232678,-35.83183115043335
32.5693,32.5693,195.0,199.10258970866423,198.90051348766795,-25.922589708664226
32.5887,32.5887,184.0,199.1927560215212,198.99005569990197,-37.012756021521206
32.6082,32.6082,218.0,199.28325971735526,199.07992896687892,-3.1032597173552645
32.6276,32.6276,203.0,199.3731724087819,199.16921151398083,-18.193172408781898
32.6471,32.6471,203.0,199.46342116780355,199.25882378256978,-18.283421167803546
32.6665,32.6665,187.0,199.55308032224414,199.3478466754029,-34.37308032224414
32.686,32.686,203.0,199.64307425870172,199.43719795746551,-18.463074258701717
32.7055,32.7055,206.0,199.7329405241368,199.52641841586043,-15.552940524136808
32.7249,32.7249,195.0,199.82221922179687,199.61505151804633,-26.64221922179687
32.7444,32.7444,218.0,199.9118308674455,199.70401101125418,-3.7318308674455025
32.7638,32.7638,203.0,200.00085627563755,199.79238449454104,-18.820856275637546
32.7833,32.7833,204.0,200.0902133097689,199.88108303912313,-17.9102133097689
32.8027,32.8027,194.0,200.17898557758724,199.96919692091927,-27.99898557758724
32.8222,32.8222,205.0,200.26808815891619,200.05763453530986,-17.088088158916186
32.8416,32.8416,179.0,200.35660729033606,200.14548883488504,-43.17660729033606
32.8611,32.8611,173.0,200.44545561649304,200.2336655393873,-49.265455616493036
32.8806,32.8806,193.0,200.53417641161332,200.32171146181093,-29.354176411613317
32.9,32.9,179.0,200.62231584034382,200.40917609465203,-43.44231584034382
32.9195,32.9195,200.0,200.71078245284372,200.49696114116995,-22.530782452843717
32.9389,32.9389,194.0,200.79866906862233,200.5841662481168,-28.61866906862233
32.9584,32.9584,208.0,200.88688169857585,200.67169044369197,-14.706881698575849
32.9778,32.9778,200.0,200.97451558096432,200.75863605050336,-22.794515580964323
32.9973,32.9973,175.0,201.0624742160076,200.8458994219555,-47.88247421600759
33.0168,33.0168,198.0,201.15030564479645,200.9330320567699,-24.970305644796447
33.0362,33.0362,162.0,201.23756044320453,201.01958813223746,-61.05756044320453
33.0557,33.0557,205.0,201.3251381326009,201.1064599866708,-18.1451381326009
33.0751,33.0751,192.0,201.41214048288492,201.1927566345062,-31.232140482884923
33.0946,33.0946,199.0,201.49946458951402,201.27936774000662,-24.31946458951402
33.114,33.114,189.0,201.58621475021332,201.36540499241448,-34.406214750213316
33.1335,33.1335,193.0,201.67328529016854,201.4517553822741,-30.493285290168537
33.153,33.153,199.0,201.7602288769813,201.53797509230816,-24.5802288769813
33.1724,33.1724,185.0,201.8466005524267,201.62362298264347,-38.66660055242671
33.1919,33.1919,205.0,201.93329087647663,201.70958203047255,-18.753290876476633
33.2113,33.2113,196.0,202.019410626634,201.79497061395148,-27.839410626634
33.2308,33.2308,192.0,202.10584776425847,201.88066903746497,-31.92584776425847
33.2502,33.2502,201.0,202.19171579142002,201.96579835269415,-23.011715791420023
33.2697,33.2697,215.0,202.2778999498946,202.05123619161307,-9.09789994989459
33.2892,33.2892,189.0,202.36395734967928,202.13654341881332,-35.18395734967928
33.3086,33.3086,178.0,202.4494476723565,202.22128357489322,-46.26944767235651
33.3281,33.3281,188.0,202.53525227484442,202.30633028056275,-36.355252274844425
33.3475,33.3475,189.0,202.6204912219143,202.39081127292312,-35.44049122191431
33.367,33.367,190.0,202.70604319810133,202.47559750134897,-34.52604319810133
33.3864,33.3864,174.0,202.79103086188366,202.55981937495505,-50.611030861883656
33.4059,33.4059,191.0,202.87633047874928,202.6443451722434,-33.69633047874928
33.4254,33.4254,189.0,202.96150350328094,202.72874043713728,-35.78150350328094
33.4448,33.4448,198.0,203.0461143764584,202.81257338794086,-26.866114376458405
33.4643,33.4643,187.0,203.13103515415375,202.89670829432362,-37.95103515415375
33.4837,33.4837,189.0,203.21539514425893,202.98028224675318,-36.035395144258935
33.5032,33.5032,203.0,203.3000639992662,203.06415684526542,-22.1200639992662
33.5226,33.5226,201.0,203.38417326383515,203.14747185060133,-24.204173263835152
33.5421,33.5421,202.0,203.46859025855613,203.23108619369057,-23.288590258556134
33.5616,33.5616,200.0,203.5528809114069,203.31457009485098,-25.372880911406902
33.581,33.581,195.0,203.63661426592685,203.3974964469257,-30.456614265926852
33.6005,33.6005,187.0,203.72065343229823,203.48072017478597,-38.540653432298235
33.6199,33.6199,191.0,203.8041364874954,203.5633877158887,-34.62413648749541
33.6394,33.6394,193.0,203.88792427409098,203.6463513274,-32.70792427409098
